Transition	Value in cm-1
S0-T1		0.95944
S0-T2		1.13879
S0-T3		0.37873
S0-T4		0.45922
S0-T5		0.18376
S1-T1		0.25239
S1-T2		0.41596
S1-T3		1.15445
S1-T4		0.19385
S1-T5		0.27520
S2-T1		0.64411
S2-T2		0.07542
S2-T3		0.50528
S2-T4		0.30638
S2-T5		0.25111
S3-T1		1.32381
S3-T2		1.26261
S3-T3		1.55980
S3-T4		0.60216
S3-T5		1.50771
S4-T1		1.55937
S4-T2		0.17593
S4-T3		0.16592
S4-T4		0.11018
S4-T5		0.29140
S5-T1		5.18903
S5-T2		2.70954
S5-T3		1.60255
S5-T4		0.09740
S5-T5		0.47984
